"","batch1","batch2"
"1","M70T100","M70T114"
"2","M70T594","M70T610"
"3","M71T795","M71T794_2"
"4","M72T373","M72T384"
"5","M72T592","M72T606"
"6","M74T399","M74T416"
"7","M74T151","M74T114"
"8","M76T644","M76T651"
"9","M76T525","M76T407"
"10","M76T292","M76T296"
"11","M76T669","M76T690"
"12","M76T259","M76T262"
"13","M76T606","M76T617"
"14","M77T603","M77T613"
"15","M78T790","M78T789"
"16","M79T130","M79T134"
"17","M79T675","M79T686"
"18","M80T129","M80T133"
"19","M80T425","M80T418"
"20","M81T289","M81T307"
"21","M81T663","M81T702"
"22","M81T485","M81T506"
"23","M81T106","M81T108"
"24","M81T668","M81T673"
"25","M82T327","M82T331"
"26","M82T485","M82T505"
"27","M82T795","M82T794"
"28","M83T591","M83T612"
"29","M83T371","M83T383"
"30","M83T102","M83T97"
"31","M83T512","M83T532"
"32","M85T580","M85T623"
"33","M85T320","M85T326"
"34","M86T501","M86T521"
"35","M86T239","M86T168"
"36","M87T253","M87T277"
"37","M88T113","M88T115"
"38","M89T978","M89T982"
"39","M90T119","M90T124"
"40","M90T345","M90T260"
"41","M90T499","M90T520"
"42","M91T412","M91T426"
"43","M92T610","M92T638"
"44","M93T296","M93T300"
"45","M93T112","M93T89"
"46","M93T604","M93T623"
"47","M93T676","M93T706"
"48","M93T795","M93T794"
"49","M93T349","M93T359"
"50","M94T400","M94T419"
"51","M94T695","M94T703"
"52","M94T284","M94T291"
"53","M94T513","M94T546"
"54","M95T399","M95T488"
"55","M95T120","M95T120"
"56","M96T696","M96T714"
"57","M96T398","M96T409"
"58","M96T296","M96T299"
"59","M96T127","M96T127"
"60","M97T790","M97T789_1"
"61","M97T375","M97T388"
"62","M97T491","M97T511"
"63","M97T243","M97T238"
"64","M99T277","M99T278"
"65","M100T223","M100T155"
"66","M101T517","M101T466"
"67","M101T334","M101T341"
"68","M103T285","M103T300"
"69","M103T526","M103T547"
"70","M104T116","M104T106"
"71","M104T526","M104T547"
"72","M105T398","M105T415_1"
"73","M105T730","M105T741"
"74","M105T636","M105T634"
"75","M105T513","M105T533"
"76","M106T469","M106T488"
"77","M107T400","M107T413"
"78","M107T982","M107T1015"
"79","M109T486","M109T505"
"80","M110T131","M110T121"
"81","M110T486","M110T507"
"82","M111T633","M111T537"
"83","M111T438","M111T455"
"84","M112T207","M112T209"
"85","M112T437","M112T388"
"86","M113T300","M113T310"
"87","M114T110","M114T111"
"88","M114T274","M114T281"
"89","M115T399","M115T415"
"90","M115T175","M115T175"
"91","M115T697","M115T702"
"92","M116T108","M116T108"
"93","M116T188","M116T199"
"94","M116T482","M116T515"
"95","M117T579","M117T642"
"96","M117T793","M117T755"
"97","M118T510","M118T531"
"98","M119T635","M119T627"
"99","M120T789","M120T810"
"100","M121T445","M121T463_2"
"101","M121T981","M121T981"
"102","M122T296","M122T304"
"103","M123T553","M123T575"
"104","M124T279","M124T222"
"105","M124T552","M124T539"
"106","M125T364","M125T378"
"107","M125T457","M125T476"
"108","M125T288","M125T294"
"109","M126T186","M126T189"
"110","M126T710","M126T714"
"111","M127T362","M127T373"
"112","M129T261","M129T273"
"113","M129T555","M129T584"
"114","M129T784","M129T764"
"115","M130T412","M130T430"
"116","M130T241","M130T232"
"117","M130T520","M130T519"
"118","M131T525","M131T610"
"119","M131T678","M131T686"
"120","M132T512","M132T524"
"121","M132T272","M132T276"
"122","M133T562","M133T661"
"123","M134T537","M134T550"
"124","M135T599","M135T639"
"125","M136T328","M136T338"
"126","M136T796","M136T792"
"127","M137T608","M137T603"
"128","M138T710","M138T714"
"129","M138T486","M138T444"
"130","M138T619","M138T525"
"131","M140T352","M140T395"
"132","M141T327","M141T287"
"133","M141T738","M141T764"
"134","M141T463","M141T483"
"135","M141T615","M141T628"
"136","M142T209","M142T118"
"137","M142T613","M142T629"
"138","M142T493","M142T511"
"139","M143T362","M143T368"
"140","M144T366","M144T376"
"141","M144T544","M144T574"
"142","M145T704","M145T701"
"143","M145T790","M145T791"
"144","M145T363","M145T377"
"145","M146T469","M146T487"
"146","M146T615","M146T651"
"147","M147T795","M147T817"
"148","M147T289","M147T294"
"149","M148T229","M148T141"
"150","M149T596","M149T611"
"151","M149T686","M149T677"
"152","M150T129","M150T165"
"153","M150T595","M150T613"
"154","M150T512","M150T527"
"155","M151T290","M151T360"
"156","M152T594","M152T611"
"157","M152T772","M152T785"
"158","M153T314","M153T372"
"159","M153T447","M153T551"
"160","M153T229","M153T232"
"161","M154T232","M154T235"
"162","M155T723","M155T721"
"163","M155T121","M155T121"
"164","M155T342","M155T353"
"165","M155T1045","M155T1052"
"166","M155T617","M155T631"
"167","M156T481_1","M156T500"
"168","M156T172","M156T155"
"169","M156T374","M156T389"
"170","M156T122","M156T112"
"171","M156T481_2","M156T501"
"172","M157T537","M157T554"
"173","M157T377","M157T387"
"174","M157T222","M157T224"
"175","M158T344","M158T225"
"176","M158T431","M158T547"
"177","M158T162","M158T157"
"178","M160T737","M160T793"
"179","M160T226","M160T276"
"180","M161T438","M161T487"
"181","M161T825","M161T748"
"182","M161T779","M161T777"
"183","M162T212","M162T201"
"184","M162T723","M162T721"
"185","M162T260","M162T256"
"186","M163T329","M163T211"
"187","M163T844","M163T837"
"188","M163T975","M163T980"
"189","M163T781","M163T710"
"190","M164T174","M164T169"
"191","M165T605","M165T603"
"192","M165T971","M165T978"
"193","M166T501","M166T523"
"194","M166T185","M166T303"
"195","M167T489","M167T517"
"196","M167T604","M167T621"
"197","M167T286","M167T299"
"198","M167T389","M167T440"
"199","M168T124","M168T146"
"200","M168T279","M168T292"
"201","M168T597","M168T617"
"202","M169T722","M169T721"
"203","M170T263","M170T265"
"204","M170T116","M170T116"
"205","M170T314","M170T320_1"
"206","M170T211","M170T208"
"207","M170T493","M170T527"
"208","M170T312","M170T320_2"
"209","M170T396","M170T417"
"210","M172T208","M172T204"
"211","M172T421","M172T439"
"212","M172T379","M172T296"
"213","M172T758","M172T780"
"214","M173T475","M173T506"
"215","M175T183","M175T186"
"216","M175T558","M175T577"
"217","M175T794","M175T780"
"218","M175T620","M175T637"
"219","M175T695","M175T719"
"220","M176T556","M176T577"
"221","M177T526","M177T546"
"222","M177T497","M177T518"
"223","M178T434","M178T544"
"224","M179T712","M179T700"
"225","M180T100","M180T107"
"226","M180T372","M180T385"
"227","M180T650","M180T644"
"228","M181T421","M181T439"
"229","M181T367","M181T389"
"230","M181T659","M181T673"
"231","M181T279","M181T298"
"232","M182T499","M182T519"
"233","M183T527","M183T543"
"234","M183T605","M183T625"
"235","M183T332","M183T306"
"236","M183T517","M183T548"
"237","M184T586","M184T599_1"
"238","M184T136","M184T140"
"239","M184T311","M184T409"
"240","M184T668","M184T677"
"241","M185T305","M185T309"
"242","M185T236","M185T237"
"243","M186T364","M186T377"
"244","M186T624","M186T534"
"245","M187T1100","M187T1081"
"246","M187T614","M187T692"
"247","M188T421","M188T439"
"248","M188T494","M188T441"
"249","M188T98","M188T113"
"250","M189T263","M189T244"
"251","M189T493","M189T516"
"252","M190T376","M190T388"
"253","M190T795","M190T796"
"254","M191T610","M191T619"
"255","M191T687","M191T694"
"256","M191T137","M191T131"
"257","M191T592","M191T608"
"258","M191T804","M191T793"
"259","M191T319","M191T326"
"260","M192T517","M192T537"
"261","M192T445","M192T463"
"262","M193T264","M193T264"
"263","M193T507","M193T503"
"264","M193T494","M193T536"
"265","M193T608","M193T623"
"266","M194T236","M194T240"
"267","M195T974","M195T980"
"268","M195T576","M195T591"
"269","M195T472","M195T485"
"270","M196T582","M196T596"
"271","M196T688","M196T691"
"272","M196T597","M196T611"
"273","M196T691","M196T697"
"274","M197T421","M197T439"
"275","M197T722","M197T719"
"276","M197T767","M197T775"
"277","M197T344","M197T456"
"278","M198T344","M198T352"
"279","M198T658","M198T556"
"280","M199T548","M199T565"
"281","M199T183","M199T190"
"282","M199T898","M199T887"
"283","M200T896","M200T859"
"284","M201T310","M201T315"
"285","M201T999","M201T1003"
"286","M201T361","M201T446"
"287","M201T112","M201T133"
"288","M202T170","M202T169"
"289","M202T391","M202T430"
"290","M202T267","M202T271"
"291","M202T616","M202T582"
"292","M202T523","M202T520"
"293","M202T399","M202T418"
"294","M203T273","M203T282"
"295","M203T120","M203T123"
"296","M203T795","M203T775"
"297","M204T711","M204T693"
"298","M204T384","M204T502"
"299","M204T165","M204T123"
"300","M205T209","M205T93"
"301","M205T569","M205T582"
"302","M205T642","M205T737"
"303","M205T756","M205T691"
"304","M205T842","M205T814"
"305","M206T328","M206T337"
"306","M206T171","M206T166"
"307","M207T602","M207T622"
"308","M207T594","M207T510"
"309","M207T726","M207T732"
"310","M207T120","M207T107"
"311","M208T491","M208T509"
"312","M208T135","M208T134"
"313","M208T592","M208T615"
"314","M209T383","M209T359"
"315","M209T692","M209T744"
"316","M210T307","M210T313"
"317","M210T277","M210T278"
"318","M210T380","M210T394"
"319","M210T247","M210T256"
"320","M211T281","M211T285"
"321","M211T378_1","M211T391"
"322","M212T272","M212T281"
"323","M212T585","M212T602"
"324","M212T506","M212T525"
"325","M213T600","M213T578"
"326","M213T725","M213T696_2"
"327","M213T130","M213T134"
"328","M214T171","M214T276"
"329","M214T458","M214T463"
"330","M214T589","M214T602"
"331","M214T194","M214T190"
"332","M215T438","M215T498"
"333","M216T328","M216T330"
"334","M216T497","M216T536"
"335","M216T162","M216T137"
"336","M217T481","M217T500"
"337","M217T438","M217T526"
"338","M217T691","M217T696"
"339","M218T250","M218T247"
"340","M218T464","M218T483"
"341","M218T537","M218T554"
"342","M218T443","M218T405"
"343","M218T620","M218T663"
"344","M218T461","M218T519"
"345","M219T273","M219T280"
"346","M219T430","M219T448"
"347","M220T215","M220T98"
"348","M220T132","M220T202"
"349","M221T676","M221T757"
"350","M221T663","M221T673"
"351","M221T227","M221T226"
"352","M222T216","M222T214"
"353","M222T391","M222T404"
"354","M222T656","M222T651"
"355","M222T569","M222T581"
"356","M222T793","M222T788"
"357","M223T977","M223T980"
"358","M223T188","M223T186"
"359","M223T645","M223T671"
"360","M223T479","M223T503"
"361","M224T272","M224T282"
"362","M224T619","M224T509"
"363","M224T403","M224T412"
"364","M224T973","M224T983"
"365","M225T350","M225T363"
"366","M225T634","M225T565"
"367","M225T530","M225T557"
"368","M225T373","M225T386"
"369","M225T305","M225T311"
"370","M226T645","M226T662"
"371","M227T524","M227T539"
"372","M227T437","M227T531"
"373","M227T590","M227T680"
"374","M227T584","M227T618"
"375","M227T464","M227T484"
"376","M227T268","M227T275"
"377","M228T614","M228T627"
"378","M229T212","M229T207"
"379","M229T349","M229T359"
"380","M229T622","M229T606"
"381","M229T178","M229T168"
"382","M229T445","M229T459"
"383","M229T375","M229T387"
"384","M230T399","M230T412"
"385","M230T313","M230T323"
"386","M230T176","M230T177"
"387","M230T108","M230T105"
"388","M230T248","M230T252"
"389","M230T814","M230T809"
"390","M231T444","M231T463"
"391","M232T250","M232T249"
"392","M232T468","M232T392"
"393","M232T648","M232T666"
"394","M232T159","M232T160"
"395","M233T273","M233T283"
"396","M233T319","M233T326"
"397","M233T379","M233T393"
"398","M233T576","M233T523"
"399","M235T304","M235T311"
"400","M235T438","M235T352"
"401","M235T819_1","M235T813"
"402","M236T544","M236T564"
"403","M237T432","M237T466"
"404","M237T695","M237T698"
"405","M237T209","M237T201"
"406","M238T243","M238T241"
"407","M238T339","M238T360"
"408","M238T393","M238T414"
"409","M238T187","M238T191"
"410","M238T652","M238T662"
"411","M238T713","M238T718"
"412","M238T555","M238T569"
"413","M238T385","M238T436"
"414","M239T458","M239T476"
"415","M240T518","M240T402"
"416","M240T537","M240T559"
"417","M241T286","M241T201"
"418","M241T672","M241T689"
"419","M242T267","M242T270"
"420","M242T503","M242T521"
"421","M243T245","M243T253"
"422","M243T367","M243T377"
"423","M243T108","M243T112"
"424","M243T224","M243T226"
"425","M243T327","M243T344"
"426","M243T628","M243T639"
"427","M243T530","M243T557"
"428","M244T526","M244T542"
"429","M244T293","M244T302"
"430","M244T554","M244T548"
"431","M244T279","M244T277"
"432","M245T296","M245T301"
"433","M245T515","M245T459"
"434","M245T346","M245T384"
"435","M245T437","M245T533"
"436","M245T493","M245T513"
"437","M246T128","M246T120"
"438","M246T673","M246T685"
"439","M246T218","M246T212"
"440","M247T130","M247T132"
"441","M247T679","M247T684"
"442","M247T601","M247T617"
"443","M248T421","M248T438"
"444","M248T434","M248T506"
"445","M248T671","M248T678"
"446","M248T142","M248T144"
"447","M248T598","M248T610"
"448","M248T490","M248T515"
"449","M249T344","M249T336"
"450","M249T758","M249T852"
"451","M249T672","M249T679"
"452","M249T305","M249T308"
"453","M250T133","M250T123"
"454","M250T592_1","M250T606"
"455","M251T387","M251T401"
"456","M251T229","M251T234"
"457","M252T450","M252T458"
"458","M252T731","M252T674"
"459","M253T351","M253T361"
"460","M253T526","M253T543"
"461","M253T311","M253T389"
"462","M253T443","M253T459"
"463","M253T581","M253T682"
"464","M254T514","M254T533"
"465","M254T661","M254T667"
"466","M254T250","M254T242"
"467","M254T424","M254T446"
"468","M254T594","M254T612"
"469","M254T314","M254T320"
"470","M254T109","M254T102"
"471","M255T646","M255T661"
"472","M256T126","M256T125"
"473","M257T688","M257T691"
"474","M257T423","M257T437"
"475","M257T113","M257T112"
"476","M257T259","M257T369"
"477","M257T933","M257T912"
"478","M258T301","M258T309"
"479","M258T722","M258T720"
"480","M258T523","M258T545"
"481","M258T640","M258T638"
"482","M258T372","M258T369"
"483","M258T541","M258T562"
"484","M258T792","M258T781"
"485","M259T363","M259T373"
"486","M259T716","M259T714"
"487","M259T442","M259T383"
"488","M259T581","M259T601"
"489","M259T954","M259T960"
"490","M259T545","M259T564"
"491","M260T372","M260T383"
"492","M260T536","M260T555"
"493","M260T567","M260T585"
"494","M260T663","M260T677"
"495","M261T457","M261T476"
"496","M261T586","M261T599"
"497","M261T529","M261T554"
"498","M261T477","M261T498"
"499","M261T607","M261T626"
"500","M261T726","M261T728"
"501","M261T263","M261T254"
"502","M263T450","M263T449"
"503","M263T222","M263T227"
"504","M263T373","M263T387"
"505","M263T290","M263T299"
"506","M263T121","M263T105"
"507","M263T610","M263T690"
"508","M264T123","M264T133"
"509","M265T493","M265T514"
"510","M265T114","M265T120"
"511","M265T272","M265T277"
"512","M265T386","M265T394"
"513","M265T577","M265T605"
"514","M265T110","M265T107"
"515","M265T394","M265T410"
"516","M265T268","M265T271"
"517","M266T581","M266T593"
"518","M266T313","M266T322"
"519","M266T649","M266T612"
"520","M266T395","M266T412"
"521","M267T767","M267T764"
"522","M267T388","M267T403"
"523","M267T630","M267T643"
"524","M267T389","M267T298"
"525","M268T315","M268T340"
"526","M268T216","M268T144"
"527","M268T291","M268T312"
"528","M268T211","M268T208"
"529","M269T294","M269T303"
"530","M269T373","M269T404"
"531","M269T730","M269T711"
"532","M269T117","M269T122"
"533","M269T364","M269T384"
"534","M270T120","M270T122"
"535","M270T262","M270T275"
"536","M272T105","M272T108"
"537","M272T581","M272T598"
"538","M272T658","M272T683"
"539","M273T430","M273T445"
"540","M273T516","M273T536"
"541","M273T651","M273T643"
"542","M273T477","M273T493"
"543","M274T189","M274T182"
"544","M274T391","M274T442"
"545","M274T128","M274T114"
"546","M274T284","M274T210"
"547","M274T741","M274T727"
"548","M274T137","M274T138"
"549","M275T298","M275T296"
"550","M275T521","M275T544"
"551","M275T731","M275T639"
"552","M275T530","M275T549"
"553","M275T453","M275T471"
"554","M276T346","M276T345"
"555","M276T484","M276T474"
"556","M276T156","M276T173"
"557","M276T592","M276T610"
"558","M276T359","M276T367"
"559","M276T193","M276T189"
"560","M277T518","M277T540"
"561","M277T327","M277T317"
"562","M277T527","M277T548"
"563","M277T633","M277T703"
"564","M278T298","M278T192"
"565","M278T373","M278T367"
"566","M278T621","M278T643"
"567","M279T284","M279T286"
"568","M279T328","M279T336"
"569","M280T363","M280T378"
"570","M280T210","M280T213"
"571","M281T445","M281T463"
"572","M282T385","M282T501"
"573","M282T187","M282T151"
"574","M282T126_2","M282T129"
"575","M283T289","M283T297"
"576","M283T122","M283T117"
"577","M283T275","M283T247"
"578","M283T136","M283T143"
"579","M284T291","M284T217"
"580","M284T135","M284T139"
"581","M284T275","M284T278"
"582","M285T493","M285T447"
"583","M285T262","M285T278"
"584","M285T514","M285T530"
"585","M285T570","M285T637"
"586","M286T589","M286T602"
"587","M286T436","M286T452"
"588","M286T491","M286T509"
"589","M286T782","M286T768"
"590","M286T558","M286T572"
"591","M287T479","M287T489"
"592","M287T754","M287T749"
"593","M288T161","M288T162"
"594","M288T261","M288T289"
"595","M289T288","M289T296"
"596","M290T362","M290T476"
"597","M290T517","M290T538"
"598","M290T622","M290T639"
"599","M290T581","M290T598"
"600","M290T453","M290T512"
"601","M291T593","M291T611"
"602","M292T977","M292T977"
"603","M292T697","M292T703"
"604","M292T241","M292T238"
"605","M292T805","M292T821"
"606","M293T545","M293T559"
"607","M293T589","M293T599"
"608","M294T358","M294T394"
"609","M294T192","M294T116"
"610","M294T256","M294T254"
"611","M295T468","M295T488"
"612","M295T284","M295T291"
"613","M296T361","M296T370"
"614","M296T405","M296T450"
"615","M296T207","M296T92"
"616","M296T675","M296T683"
"617","M296T465","M296T489"
"618","M297T157","M297T159"
"619","M297T302","M297T281"
"620","M297T548","M297T652"
"621","M298T235","M298T231"
"622","M299T326","M299T326"
"623","M299T541","M299T563"
"624","M300T284","M300T292"
"625","M300T201","M300T207"
"626","M300T409","M300T453"
"627","M300T136","M300T135"
"628","M300T214","M300T309"
"629","M300T603","M300T614"
"630","M301T309","M301T312"
"631","M302T369","M302T380"
"632","M302T366","M302T377"
"633","M302T276","M302T281"
"634","M302T533","M302T556"
"635","M302T837","M302T789"
"636","M303T131","M303T117"
"637","M303T652","M303T661"
"638","M303T520","M303T539"
"639","M304T354","M304T287"
"640","M304T274","M304T357"
